filename,size_bytes,sha256
2026-03-22 CoinTracking - Average Purchase Price (last sync 2023-08-05).txt,5143461,067f45e3e4b53c8d48fa7f3b501ed5ad7ce8a5f37ae981a8590085aba49ca4b2
2026-03-22 CoinTracking - Balance By Day (last sync 2023-08-05).csv,4398963,f3d10a4cdc28d0c97819347c6cfd0ac06f688ab069d26e65551e576884047883
2026-03-22 CoinTracking - Balance by Exchange (last sync 2023-08-05).csv,5356,9873bb177bf76e89a98c058d7011e760a6045055ca6b5e1c20ed955f3b48e1d6
2026-03-22 CoinTracking - Coins by Exchange (last sync 2023-08-05).csv,7678,2aa3bddcdc8a4d3e2d4226fe08f659c0efd9da213a65f179da95bf1049512c18
2026-03-22 CoinTracking - Current Balance (last sync 2023-08-05).csv,10079,d2eaa8408aed1aae7069c4a3d62d9435d56036795938edde8aadc2a83e6035ad
2026-03-22 CoinTracking - Double-entry (last sync 2023-08-05).csv,5468154,45308d4edd34932b717aef953a6efe6b99030888b5740e731f2976a6b4a652fe
2026-03-22 CoinTracking - Duplicate Transactions (last sync 2023-08-05).csv,101,4977f08e38ef0707b6199fa5f86ee61967ce6499e78fd4416437e186417eddeb
2026-03-22 CoinTracking - Missing Transactions (last sync 2023-08-05).csv,2655,0dd7f6444f43c6e85d7fbadb14976f702d3a38b2226a301ac0faac54b7139cf3
2026-03-22 CoinTracking - Realized Gain or Loss in CAD (last sync 2023-08-05).csv,3317034,8d67855d50eb72189ffa1f9775c05bc54905b3b1b0c3138332e1c9d89ec16eb8
2026-03-22 CoinTracking - Realized and Unrealized Gains in CAD (last sync 2023-08-05).csv,6989,fa4cbeaca2fad60a23e1bb07f48a7c7456afc86d8b0b7eb7ec8f9abea9a825f7
2026-03-22 CoinTracking - Roll Forward in CAD (last sync 2023-08-05).csv,6113305,5374b42a25c2c24cb88e71cca68cebd3aed167a2a85c9f2528b1dd07b1c15cb0
2026-03-22 CoinTracking - Total Balance (last sync 2023-08-05).png,26326,4e008f1748262f07bca1789bef2fb63bb76262922fabb985683ab1468cb6230d
2026-03-22 CoinTracking - Trade List (last sync 2023-08-05).csv,2785826,a52fbadc31836ec96a146c313613c8a13b5fbea57c9216701dca4147eabfa6ba
2026-03-22 CoinTracking - Trade Table (last sync 2023-08-05).csv,4031478,d8af0dd8c59421a22b1780c461602f0c93084224a0bc9c740be1e51af7e2b7b8
2026-03-22 CoinTracking - Unrealized Gain or Loss in CAD (last sync 2023-08-05).csv,102846,0a2a5cec80bebf80202c5cc1bd37351141c7438ba9d25bb6be2a4c080e1a71e2
2026-03-22 CoinTracking - Validate Transactions (last sync 2023-08-05).csv,314,1cb802ee34298fce401e91c876a245d58ca3b4303bd523a05904cdeb7e37689d
2026-03-22_19-01-26 CoinTracking_double_entry  (last sync 2023-08-05).csv,4190629,93fc4750888d6e7b009b417592377952f572b390a25bf91f849a76b3345ce194
